date,expenses
2016-10-03,592410
2016-10-04,483260
2016-10-05,271320
2016-10-06,544962
2016-10-07,644077
2016-10-10,579469
2016-10-11,494972
2016-10-12,272444
2016-10-13,520475
2016-10-14,635615
2016-10-17,696231
2016-10-18,533334
2016-10-19,273018
2016-10-20,521195
2016-10-21,634218
2016-10-24,572798
2016-10-25,492690
2016-10-26,276641
2016-10-27,520395
2016-10-28,684004
2016-10-31,573717
2016-11-01,486644
2016-11-02,272794
2016-11-03,531783
2016-11-04,620393
2016-11-07,572799
2016-11-08,518272
2016-11-09,267754
2016-11-10,537724
2016-11-11,622633
2016-11-14,564301
2016-11-15,544184
2016-11-16,262777
2016-11-17,527452
2016-11-18,603553
2016-11-21,561205
2016-11-22,517332
2016-11-23,267649
2016-11-24,535090
2016-11-25,602246
2016-11-28,350547
2016-11-29,378379
2016-11-30,251670
2016-12-01,538931
2016-12-02,577564
2016-12-05,549460
2016-12-06,544070
2016-12-07,284135
2016-12-08,500788
2016-12-09,736552
2016-12-12,544363
2016-12-13,475238
2016-12-14,282455
2016-12-15,500896
2016-12-16,709063
2016-12-19,551792
2016-12-20,526372
2016-12-21,260721
2016-12-22,476616
2016-12-23,742978
2016-12-26,540850
2016-12-27,448369
2016-12-28,202729
2016-12-29,253054
2016-12-30,846622
2017-01-02,561796
2017-01-03,403996
2017-01-04,201773
2017-01-05,266702
2017-01-06,768577
2017-01-09,550294
2017-01-10,428672
2017-01-11,291415
2017-01-12,474234
2017-01-13,586902
2017-01-16,542634
2017-01-17,523257
2017-01-18,266485
2017-01-19,488180
2017-01-20,647460
2017-01-23,542216
2017-01-24,494034
2017-01-25,265247
2017-01-26,514150
2017-01-27,599845
2017-01-30,533084
2017-01-31,503378
2017-02-01,263415
2017-02-02,496109
2017-02-03,597952
2017-02-06,580789
2017-02-07,582584
2017-02-08,271164
2017-02-09,520058
2017-02-10,614818
2017-02-13,578922
2017-02-14,513085
2017-02-15,285193
2017-02-16,522578
2017-02-17,614098
2017-02-20,557984
2017-02-21,535468
2017-02-22,274780
2017-02-23,533064
2017-02-24,649924
2017-02-27,626959
2017-02-28,621368
2017-03-01,288853
2017-03-02,597087
2017-03-03,678228
2017-03-06,670236
2017-03-07,651122
2017-03-08,287910
2017-03-09,597632
2017-03-10,696964
2017-03-13,640279
2017-03-14,557550
2017-03-15,295064
2017-03-16,546045
2017-03-17,650928
2017-03-20,636374
2017-03-21,547213
2017-03-22,285976
2017-03-23,600138
2017-03-24,697161
2017-03-27,639816
2017-03-28,562850
2017-03-29,281002
2017-03-30,585289
2017-03-31,713109
2017-04-03,642172
2017-04-04,612598
2017-04-05,286667
2017-04-06,573728
2017-04-07,706345
2017-04-10,626378
2017-04-11,558234
2017-04-12,281318
2017-04-13,591072
2017-04-14,714841
2017-04-17,630216
2017-04-18,476898
2017-04-19,290849
2017-04-20,591498
2017-04-21,702235
2017-04-24,640370
2017-04-25,561387
2017-04-26,278412
2017-04-27,577977
2017-04-28,700923
2017-05-01,631503
2017-05-02,610608
2017-05-03,286571
2017-05-04,579025
2017-05-05,727515
2017-05-08,650471
2017-05-09,551007
2017-05-10,278494
2017-05-11,583811
2017-05-12,706419
2017-05-15,628829
2017-05-16,529776
2017-05-17,285016
2017-05-18,573569
2017-05-19,682708
2017-05-22,649111
2017-05-23,544933
2017-05-24,271192
2017-05-25,603909
2017-05-26,690146
2017-05-29,627065
2017-05-30,579132
2017-05-31,202140
2017-06-01,292249
2017-06-02,858416
2017-06-05,648572
2017-06-06,533354
2017-06-07,291000
2017-06-08,620763
2017-06-09,677705
2017-06-12,628101
2017-06-13,531908
2017-06-14,277804
2017-06-15,625069
2017-06-16,733784
2017-06-19,638501
2017-06-20,551779
2017-06-21,280984
2017-06-22,626015
2017-06-23,737142
2017-06-26,644078
2017-06-27,572124
2017-06-28,290215
2017-06-29,628345
2017-06-30,719106
2017-07-03,634996
2017-07-04,540353
2017-07-05,284666
2017-07-06,304333
2017-07-07,735517
2017-07-10,726190
2017-07-11,541290
2017-07-12,277654
2017-07-13,646506
2017-07-14,657533
2017-07-17,638438
2017-07-18,569626
2017-07-19,279185
2017-07-20,647721
2017-07-21,717849
2017-07-24,670048
2017-07-25,594406
2017-07-26,281133
2017-07-27,638085
2017-07-28,683546
2017-07-31,646580
2017-08-01,530349
2017-08-02,285986
2017-08-03,647566
2017-08-04,678604
2017-08-07,638038
2017-08-08,536423
2017-08-09,277192
2017-08-10,633053
2017-08-11,683553
2017-08-14,637549
2017-08-15,544948
2017-08-16,283834
2017-08-17,644555
2017-08-18,683233
2017-08-21,640336
2017-08-22,578207
2017-08-23,273861
2017-08-24,642169
2017-08-25,671264
2017-08-28,623763
2017-08-29,524558
2017-08-30,279608
2017-08-31,623904
2017-09-01,651712
2017-09-04,620038
2017-09-05,530069
2017-09-06,203009
2017-09-07,352167
2017-09-08,854457
2017-09-11,639460
2017-09-12,523670
2017-09-13,274763
2017-09-14,593528
2017-09-15,652215
2017-09-18,635965
2017-09-19,612546
2017-09-20,284347
2017-09-21,635450
2017-09-22,676614
2017-09-25,616542
2017-09-26,517420
2017-09-27,279617
2017-09-28,642903
